unit_id	regime	seed	expected_stop	actual_stop	valid	errors	incumbent_count	inventory_count	incumbent_raw	headroom_only_raw	generation_gated_raw	bank_all_raw	headroom_only_gain_raw	generation_gated_gain_raw	headroom_only_actual_cost_s	generation_gated_actual_cost_s	bank_all_actual_cost_s	safe_cap_s	hard_budget_s	headroom_only_safe_overflow	headroom_only_hard_overflow	generation_gated_safe_overflow	bank_all_safe_overflow	bank_all_hard_overflow
G-seed41	G	41	generation	generation	False	headroom_only:safe_cap_overflow;headroom_only:hard_budget_overflow;generation_gated:safe_cap_overflow;generation_gated:hard_budget_overflow	47	26	846.0	1314.0	1314.0	1314.0	468.0	468.0	7.852208569645882	7.852208569645882	7.852208569645882	5.9399999999999995	6.0	True	True	True	True	True
G-seed42	G	42	generation	generation	False	headroom_only:safe_cap_overflow;headroom_only:hard_budget_overflow;generation_gated:safe_cap_overflow;generation_gated:hard_budget_overflow	45	24	810.0	1242.0	1242.0	1242.0	432.0	432.0	7.4737271692138165	7.4737271692138165	7.4737271692138165	5.9399999999999995	6.0	True	True	True	True	True
G-seed43	G	43	generation	generation	False	headroom_only:safe_cap_overflow;headroom_only:hard_budget_overflow;generation_gated:safe_cap_overflow;generation_gated:hard_budget_overflow	47	26	846.0	1314.0	1314.0	1314.0	468.0	468.0	8.006804288364947	8.006804288364947	8.006804288364947	5.9399999999999995	6.0	True	True	True	True	True
R0-seed41	R0	41	replay	replay	False	headroom_only:safe_cap_overflow;headroom_only:hard_budget_overflow;generation_gated:safe_cap_overflow;generation_gated:hard_budget_overflow	5	26	90.0	90.0	90.0	558.0	0.0	0.0	0.5546433420386165	0.5546433420386165	3.345966373104602	0.1782	0.18	True	True	True	True	True
R0-seed42	R0	42	replay	replay	False	headroom_only:safe_cap_overflow;headroom_only:hard_budget_overflow;generation_gated:safe_cap_overflow;generation_gated:hard_budget_overflow	4	28	72.0	72.0	72.0	576.0	0.0	0.0	0.41367625421844423	0.41367625421844423	3.559910162119195	0.1782	0.18	True	True	True	True	True
R0-seed43	R0	43	replay	replay	False	headroom_only:safe_cap_overflow;headroom_only:hard_budget_overflow;generation_gated:safe_cap_overflow;generation_gated:hard_budget_overflow	5	27	90.0	90.0	90.0	576.0	0.0	0.0	0.5568222722504288	0.5568222722504288	3.5210938351228833	0.1782	0.18	True	True	True	True	True
R1-seed41	R1	41	replay	replay	False	headroom_only:safe_cap_overflow;headroom_only:hard_budget_overflow;generation_gated:safe_cap_overflow;generation_gated:hard_budget_overflow	2	41	36.0	54.0	36.0	774.0	18.0	0.0	0.37157780211418867	0.2792377220466733	4.203060686355457	0.1782	0.18	True	True	True	True	True
R1-seed42	R1	42	replay	replay	False	headroom_only:safe_cap_overflow;headroom_only:hard_budget_overflow;generation_gated:safe_cap_overflow;generation_gated:hard_budget_overflow;R1:no_positive_headroom_gain	2	41	36.0	36.0	36.0	774.0	0.0	0.0	0.29617927013896406	0.29617927013896406	4.148446354782209	0.1782	0.18	True	True	True	True	True
R1-seed43	R1	43	replay	replay	False	headroom_only:safe_cap_overflow;headroom_only:hard_budget_overflow;generation_gated:safe_cap_overflow;generation_gated:hard_budget_overflow;R1:no_positive_headroom_gain	3	39	54.0	54.0	54.0	756.0	0.0	0.0	0.439551766961813	0.439551766961813	4.090249622240663	0.1782	0.18	True	True	True	True	True
K-seed41	K	41	candidate	candidate	True		3	26	54.0	54.0	54.0	54.0	0.0	0.0	0.3399072610773146	0.3399072610773146	0.3399072610773146	5.9399999999999995	6.0	False	False	False	False	False
K-seed42	K	42	candidate	candidate	True		3	26	54.0	54.0	54.0	54.0	0.0	0.0	0.3282207460142672	0.3282207460142672	0.3282207460142672	5.9399999999999995	6.0	False	False	False	False	False
K-seed43	K	43	candidate	candidate	True		3	27	54.0	54.0	54.0	54.0	0.0	0.0	0.3463503539096564	0.3463503539096564	0.3463503539096564	5.9399999999999995	6.0	False	False	False	False	False
