submission_ref	code_hash	single_changed_variable	candidate_structure	probe_count	verification_mode	returned_count	public_score	delta	decision
54923079	2fd5a59350a655981ea6b3812bea8855bd776dcfc3e27ee842cb49655403c570	bundled_scoc_era_controller	single_or_multi_selected_by_old_controller	43_full_controller	full_fill_verification_and_timing_sizing	unknown	81.225	0.000	incumbent_control_tagged
PENDING_STAGEA_1950	TBD	returned_count_and_controller_simplification	single_post_three_arm_fixed_count	3_to_4	none_after_probe	1950	NA	NA	preregistered_not_submitted
55002770	08758cc81b54e120afc12c2f72b0dee181bcd7db	returned_count_and_controller_simplification	single_post_three_arm_fixed_count	3_to_4	none_after_probe	1950	NA	NA	competition_submission_failed_blank_scores
55018092	08758cc81b54e120afc12c2f72b0dee181bcd7db	returned_count_and_controller_simplification	single_post_three_arm_fixed_count	3_to_4	none_after_probe	1950	NA	NA	competition_submission_failed_blank_scores
55024720	08758cc81b54e120afc12c2f72b0dee181bcd7db	returned_count_and_controller_simplification	single_post_three_arm_fixed_count	3_to_4	none_after_probe	1950	NA	NA	competition_submission_failed_blank_scores
55025140	08758cc81b54e120afc12c2f72b0dee181bcd7db	returned_count_and_controller_simplification	single_post_three_arm_fixed_count	3_to_4	none_after_probe	1950	NA	NA	competition_submission_failed_blank_scores
55028345	08758cc81b54e120afc12c2f72b0dee181bcd7db	returned_count_and_controller_simplification	single_post_three_arm_fixed_count	3_to_4	none_after_probe	1950	NA	NA	competition_submission_failed_blank_scores
55045930	c525c53	returned_count_and_contract_reset	single_post_three_arm_fixed_count	3_to_4	none_after_probe	1950	NA	NA	submission_queued_after_refactor
55046504	c525c53	return_count_experiment	single_post_three_arm_fixed_count	3_to_4	none_after_probe	500	NA	NA	competition_submission_queued
55050300	68a53b3	submission_contract_hardening_default_rc_500	single_post_three_arm_fixed_count	3_to_4	none_after_probe	500	NA	NA	submission_pending_after_fallback_hardening
