master_index	master_digest_hex	length	total_score	selected_global_length	is_selected
0	fe926980f30a138936a2cd5fefb9038489bbf1796b2d6c38660b198c609179d0	1	2594070	16	false
0	fe926980f30a138936a2cd5fefb9038489bbf1796b2d6c38660b198c609179d0	2	4163712	16	false
0	fe926980f30a138936a2cd5fefb9038489bbf1796b2d6c38660b198c609179d0	4	6535572	16	false
0	fe926980f30a138936a2cd5fefb9038489bbf1796b2d6c38660b198c609179d0	8	8119310	16	false
0	fe926980f30a138936a2cd5fefb9038489bbf1796b2d6c38660b198c609179d0	16	8403762	16	true
0	fe926980f30a138936a2cd5fefb9038489bbf1796b2d6c38660b198c609179d0	24	7665202	16	false
0	fe926980f30a138936a2cd5fefb9038489bbf1796b2d6c38660b198c609179d0	32	6296400	16	false
1	616793239a11dcb200d148e7477f84d6a245e0186232154caa868069b33b9211	1	2631068	16	false
1	616793239a11dcb200d148e7477f84d6a245e0186232154caa868069b33b9211	2	4225258	16	false
1	616793239a11dcb200d148e7477f84d6a245e0186232154caa868069b33b9211	4	6657200	16	false
1	616793239a11dcb200d148e7477f84d6a245e0186232154caa868069b33b9211	8	8342566	16	false
1	616793239a11dcb200d148e7477f84d6a245e0186232154caa868069b33b9211	16	8824632	16	true
1	616793239a11dcb200d148e7477f84d6a245e0186232154caa868069b33b9211	24	8094968	16	false
1	616793239a11dcb200d148e7477f84d6a245e0186232154caa868069b33b9211	32	6895748	16	false
2	06e54f206f0124bb7c4a77000baee7350d5318098b52cbd67145786ed0e93ed3	1	2642518	16	false
2	06e54f206f0124bb7c4a77000baee7350d5318098b52cbd67145786ed0e93ed3	2	4246218	16	false
2	06e54f206f0124bb7c4a77000baee7350d5318098b52cbd67145786ed0e93ed3	4	6683512	16	false
2	06e54f206f0124bb7c4a77000baee7350d5318098b52cbd67145786ed0e93ed3	8	8315254	16	false
2	06e54f206f0124bb7c4a77000baee7350d5318098b52cbd67145786ed0e93ed3	16	8579258	16	true
2	06e54f206f0124bb7c4a77000baee7350d5318098b52cbd67145786ed0e93ed3	24	7645912	16	false
2	06e54f206f0124bb7c4a77000baee7350d5318098b52cbd67145786ed0e93ed3	32	6298576	16	false
