stratum_index	replicate_index	profile_index	cliff	floor_distance	events_m1	events_m2	events_m4	events_m8	events_m16	events_m24	events_m32	score_m1	score_m2	score_m4	score_m8	score_m16	score_m24	score_m32
0	0	0	-1	NA	1	2	4	8	16	24	32	16148	28674	52292	94356	162656	200000	200000
1	0	8	4	0.0036700741393526281528815607293823498839212832770646657006545440378579227273301520	1	2	4	2	0	0	0	11438	21232	40214	19940	152	152	152
2	0	16	8	0.026173357622583429782703776115254558138169874817224326188907094632216215304952915	1	2	4	8	1	0	0	19616	32974	52802	77226	7304	266	266
3	0	24	16	0.040936270651130081218041941506028876895614592036107088355206771864787150831479	1	2	4	8	16	11	7	10140	18138	33270	60728	106320	66302	38874
4	0	32	24	0.268186199600035793715813036625713594065750056068462416356925041216288058067300	1	2	4	8	16	24	19	12862	22958	42382	78548	141550	194198	143182
5	0	40	-1	NA	1	2	4	8	16	24	32	15824	27212	43910	54966	46040	35374	28648
6	0	48	4	0.057919459238425853519577297622549008799023014999094377262769159484217255003398176	1	2	4	3	1	0	0	13110	23136	37344	17636	2760	186	186
7	0	56	8	0.07371077917479483984685085116213948959430211325964498526524560616981494804712701	1	2	4	8	3	0	0	21214	36168	53032	55028	7748	298	298
8	0	64	16	0.326869325156616084001804540135118865792566326703796994441309737851618813494498	1	2	4	8	16	18	18	22614	37364	52962	53736	37980	21386	12686
9	0	72	24	0.107146371720279062242960258273659023662096794722472393074533733481815022640981	1	2	4	8	16	24	24	12456	21508	35532	46908	41268	32544	19806
10	0	80	-1	NA	1	2	4	8	16	24	32	10046	13408	16652	19216	20756	21478	21452
11	0	88	4	0.000035328160707072967290347915098287479763431578360995435381597043719223526755579699	1	2	4	1	0	0	0	12844	17136	20992	3412	136	136	136
12	0	96	8	0.0146228243879386565495624603747508267317622157890422430811871287033561857428709	1	2	4	8	2	0	0	8742	11842	14736	16922	2662	282	282
13	0	104	16	0.3912062086353731360735717986035939999882982608059635658149825956200797351990518	1	2	4	8	16	11	7	10410	16132	23568	31218	37692	19132	9918
14	0	112	24	0.344516292960535168802546128363653763585288571885977261263536592701037822436385	1	2	4	8	16	24	24	10422	12940	15006	16358	17016	17490	13244
15	0	120	-1	NA	1	2	4	8	16	24	32	9362	13952	19424	23896	24884	23408	21452
16	0	128	4	0.1442682986776158917843882981016010180035101636747683922497901156821113602230220	1	2	4	4	2	1	0	16040	20806	24326	13106	3398	1262	236
17	0	136	8	0.1218606707687855868863598697927625731884544171787631444099719449900909745964539	1	2	4	8	9	8	6	6742	10584	15274	18562	10404	5692	3072
18	0	144	16	0.1574597355175103002316296547364382432818215465185603814453819962984798726877298	1	2	4	8	16	9	5	12578	15354	16970	16854	14924	5406	2456
19	0	152	24	0.051073714807395780969290903233412403372844474033338999010985336270696434442525	1	2	4	8	16	24	23	10676	13162	14990	15822	15452	14772	10142
20	0	160	-1	NA	1	2	4	8	16	24	32	3620	5554	9260	15966	27722	37690	45610
21	0	168	4	0.14968462520018019772953005118566624539037964745790082680851470693273079109635570	1	2	4	3	1	0	0	1914	3416	6324	4686	1698	186	186
22	0	176	8	0.0561849946384430387626962349051356120529322093464295837645772376774056653706323	1	2	4	8	3	1	0	3106	5552	10414	19816	7516	2800	316
23	0	184	16	0.3860955635918983710755315100461564794561264751010229705245226470133998928030422	1	2	4	8	16	12	8	4196	7052	12446	22020	37466	25274	15520
24	0	192	24	0.308083031693486812963371975086712624187184561485812254036705734642077909786682	1	2	4	8	16	24	20	3986	6416	11114	19934	35786	49850	39210
25	0	200	-1	NA	1	2	4	8	16	24	32	3584	5486	9128	15186	21530	22250	20938
26	0	208	4	0.0000020767379076547625240341008320642623871335340019634780170537340578423285760884590	1	2	4	0	0	0	0	2980	5490	10348	118	118	118	118
27	0	216	8	0.0062698195048523121200047462019837673491967369887905700251473858864899749843354	1	2	4	8	9	7	5	2390	3956	6926	11770	9496	5264	2886
28	0	224	16	0.077948545610062089456923516857455026591317969733694442207051790881343029620214	1	2	4	8	16	15	14	3818	6244	10808	17874	23936	15252	10014
29	0	232	24	0.244420346504683237651431320550060547840737662916540473653771491593089913821298	1	2	4	8	16	24	23	4250	6770	11294	17382	20354	18246	11992
30	0	240	-1	NA	1	2	4	8	16	24	32	3962	5996	9590	15186	22562	26882	30190
31	0	248	4	0.0000012448846945597985596608958365158995795354799880881482100862481492872605002251822	1	2	4	0	0	0	0	2296	4028	7114	118	118	118	118
32	0	256	8	0.046626807425764738654268166701324362924528855026019333708687493431436614945230406	1	2	4	8	1	0	0	2642	4550	7988	13396	1706	266	266
33	0	264	16	0.2029547370456601338854557973350539517377582672208573946029134116387994733081370	1	2	4	8	16	8	4	3330	5258	8292	12402	16698	6942	3276
34	0	272	24	0.216121172114265385020669807463669545037570876610925311683000799822906315866962	1	2	4	8	16	24	26	3776	5560	8372	11970	15758	17908	15522
35	0	280	-1	NA	1	2	4	8	16	24	32	3026	4194	5894	7776	8888	8740	8088
36	0	288	4	9.2033801521882802776776897067443051076668702414786634850291191446154331777821616E-7	1	2	4	0	0	0	0	2296	3994	6718	118	118	118	118
37	0	296	8	0.056110448747100967113880707287285397387504434526129900390292402326713869671399213	1	2	4	8	1	0	0	2516	4108	6470	9236	1004	266	266
38	0	304	16	0.268688966906549027111328073102687971303475946133880986450915329173295506800303	1	2	4	8	16	18	19	4090	6338	10012	14622	17872	13862	10588
39	0	312	24	0.377719497133644667499666168948537396483540970984536280666897592140685433488416	1	2	4	8	16	24	12	3624	5472	8214	11486	13728	13824	5742
