schema_version	namespace	profile	master	order_index	position	predecessor	method	candidate_count	attempted_paths	dropped_paths	generation_elapsed_s	generation_overage	ledger_charge_total_s	actual_replay_total_s	actual_replay_overage	replay_coverage_numerator	replay_coverage_denominator	raw	invalid_attribution_count	duplicate_identity_count	score_identity_failure_count	timeout_count	incomplete_count	exception_count	exception_id	cell_valid	transition_sequence_json
hcms24-method-cell-v1	primary	steady_linear_new	101	0	0	none	hcms_calibrated	3	4	1	1.911365499952808	False	1.8864534590102267	1.3888257560320199	False	3	3	902.0	0	0	0	0	0	0		True	[24,24,8]
hcms24-method-cell-v1	primary	steady_linear_new	101	0	1	hcms_calibrated	fixed8_calibrated	5	11	6	1.9153663360048085	False	1.9975422692368738	1.039550954126753	False	5	5	538.0	0	0	0	0	0	0		True	[8,8,8,8,1]
hcms24-method-cell-v1	primary	steady_linear_new	101	0	2	fixed8_calibrated	hcms_scalar	4	4	0	1.9207643519621342	False	1.5672597336350012	1.9391642299015075	False	0	4	1176.0	0	0	0	0	0	0		True	[24,24,24,1]
hcms24-method-cell-v1	primary	steady_linear_new	101	0	3	hcms_scalar	fixed24_no_salvage_calibrated	2	4	2	1.9115681819384918	False	1.4792452556139324	1.1013912520138547	False	2	2	772.0	0	0	0	0	0	0		True	[24,24]
hcms24-method-cell-v1	primary	steady_linear_new	101	1	0	none	fixed8_calibrated	5	11	6	1.9482140180189162	False	1.8767732802371029	1.142402813071385	False	5	5	650.0	0	0	0	0	0	0		True	[8,8,8,8,8]
hcms24-method-cell-v1	primary	steady_linear_new	101	1	1	fixed8_calibrated	fixed24_no_salvage_calibrated	2	4	2	1.9193791890284047	False	1.4537994800775778	1.0938761030556634	False	2	2	772.0	0	0	0	0	0	0		True	[24,24]
hcms24-method-cell-v1	primary	steady_linear_new	101	1	2	fixed24_no_salvage_calibrated	hcms_calibrated	3	5	2	1.9292513269465417	False	1.831859800586244	1.3721224521286786	False	3	3	902.0	0	0	0	0	0	0		True	[24,24,8]
hcms24-method-cell-v1	primary	steady_linear_new	101	1	3	hcms_calibrated	hcms_scalar	4	4	0	1.9054202999686822	False	1.5992810800322332	2.0681647108867764	True	0	4	1288.0	0	0	0	0	0	0		True	[24,24,24,8]
hcms24-method-cell-v1	primary	steady_linear_new	101	2	0	none	fixed24_no_salvage_calibrated	2	4	2	1.9264974599936977	False	1.4988903907942586	1.0813822840573266	False	2	2	772.0	0	0	0	0	0	0		True	[24,24]
hcms24-method-cell-v1	primary	steady_linear_new	101	2	1	fixed24_no_salvage_calibrated	hcms_scalar	4	4	0	1.9211788929533213	False	1.6465782762970775	2.0591445160098374	True	0	4	1288.0	0	0	0	0	0	0		True	[24,24,24,8]
