ablation	master_index	master_digest_hex	adaptive_score_raw	global_score_raw	conditional_regret_raw	gain_numerator	gain_denominator	gain_percent_decimal	global_fill_length	adaptive_fill_length_counts_json	reference_core_gain_percent_decimal	delta_numerator	delta_denominator	delta_percentage_points_decimal
no_cliff	0	fe926980f30a138936a2cd5fefb9038489bbf1796b2d6c38660b198c609179d0	15807768	14691274	1116494	55824700	7345637	7.599708507240	32	{"1":0,"16":48,"2":0,"24":50,"32":165,"4":2,"8":55}	41.437632336565	-1044424185631300	30865492543197	-33.837923829325
no_cliff	1	616793239a11dcb200d148e7477f84d6a245e0186232154caa868069b33b9211	15940298	14847776	1092522	13656525	1855972	7.358152493680	32	{"1":0,"16":64,"2":0,"24":55,"32":157,"4":4,"8":40}	38.111186959411	-62960187349325	2047283737788	-30.753034465731
no_cliff	2	06e54f206f0124bb7c4a77000baee7350d5318098b52cbd67145786ed0e93ed3	16063940	14886650	1177290	2354580	297733	7.908360846799	32	{"1":0,"16":55,"2":0,"24":58,"32":152,"4":1,"8":54}	41.198294770946	-42516708867380	1277164111057	-33.289933924147
no_curvature	0	fe926980f30a138936a2cd5fefb9038489bbf1796b2d6c38660b198c609179d0	15532542	11127668	4404874	110121850	2781917	39.584879778944	16	{"1":0,"16":68,"2":0,"24":64,"32":61,"4":64,"8":63}	41.437632336565	-21657351172150	11689284185877	-1.852752557622
no_curvature	1	616793239a11dcb200d148e7477f84d6a245e0186232154caa868069b33b9211	15773522	11590910	4182612	41826120	1159091	36.085277169782	16	{"1":0,"16":70,"2":0,"24":62,"32":63,"4":64,"8":61}	38.111186959411	-2590265334670	1278568941189	-2.025909789629
no_curvature	2	06e54f206f0124bb7c4a77000baee7350d5318098b52cbd67145786ed0e93ed3	15724814	11402240	4322574	10806435	285056	37.909866833184	16	{"1":0,"16":67,"2":0,"24":65,"32":62,"4":64,"8":62}	41.198294770946	-4021038659785	1222784484224	-3.288427937763
no_reset	0	fe926980f30a138936a2cd5fefb9038489bbf1796b2d6c38660b198c609179d0	30885578	25958052	4927526	123188150	6489513	18.982649391410	4	{"1":90,"16":0,"2":70,"24":0,"32":0,"4":77,"8":83}	41.437632336565	-204102032865950	9089387124651	-22.454982945155
no_reset	1	616793239a11dcb200d148e7477f84d6a245e0186232154caa868069b33b9211	30760200	25983386	4776814	238840700	12991693	18.384108984102	4	{"1":97,"16":0,"2":63,"24":0,"32":0,"4":79,"8":81}	38.111186959411	-282706066112150	14330863722747	-19.727077975309
no_reset	2	06e54f206f0124bb7c4a77000baee7350d5318098b52cbd67145786ed0e93ed3	31448502	26304850	5143652	10287304	526097	19.554006200377	4	{"1":85,"16":0,"2":75,"24":0,"32":0,"4":70,"8":90}	41.198294770946	-48845985193584	2256760948013	-21.644288570569
no_novelty	0	fe926980f30a138936a2cd5fefb9038489bbf1796b2d6c38660b198c609179d0	11760208	8323536	3436672	21479200	520221	41.288606188524	16	{"1":0,"16":72,"2":0,"24":54,"32":33,"4":66,"8":95}	41.437632336565	-36195251200	242878526189	-0.149026148042
no_novelty	1	616793239a11dcb200d148e7477f84d6a245e0186232154caa868069b33b9211	12063632	8746048	3317584	5183725	136657	37.932378143820	16	{"1":0,"16":85,"2":0,"24":52,"32":34,"4":66,"8":83}	38.111186959411	-26954260775	150743466903	-0.178808815591
no_novelty	2	06e54f206f0124bb7c4a77000baee7350d5318098b52cbd67145786ed0e93ed3	11983296	8494992	3488304	7267300	176979	41.063063979342	16	{"1":0,"16":69,"2":0,"24":58,"32":32,"4":65,"8":96}	41.198294770946	-102663734900	759174250791	-0.135230791604
unsaturated	0	fe926980f30a138936a2cd5fefb9038489bbf1796b2d6c38660b198c609179d0	12245132	8517938	3727194	186359700	4258969	43.756998466061	16	{"1":0,"16":69,"2":0,"24":56,"32":33,"4":66,"8":96}	41.437632336565	41506636191700	17895680920689	2.319366129495
unsaturated	1	616793239a11dcb200d148e7477f84d6a245e0186232154caa868069b33b9211	12858002	9000384	3857618	48220225	1125048	42.860593503566	16	{"1":0,"16":80,"2":0,"24":52,"32":37,"4":66,"8":85}	38.111186959411	1964697806525	413672274264	4.749406544155
unsaturated	2	06e54f206f0124bb7c4a77000baee7350d5318098b52cbd67145786ed0e93ed3	12641324	8631962	4009362	200468100	4315981	46.447864344166	16	{"1":0,"16":68,"2":0,"24":55,"32":36,"4":65,"8":96}	41.198294770946	97190306717500	18513957261049	5.249569573220
