master_index	master_digest_hex	weighting	saturation	adaptive_score	global_score	gain_numerator	gain_denominator	gain_percent_fixed_12	clears_5_percent	global_length
0	a90647ba28dae21fadb7852cfb39e1c3473420d9646d41c3531226b20a941554	equal	200000	12086174	8580074	3506100	8580074	40.863283929719	true	16
0	a90647ba28dae21fadb7852cfb39e1c3473420d9646d41c3531226b20a941554	balanced_cliff_presence	200000	22141790	16799384	5342406	16799384	31.801201758350	true	16
0	a90647ba28dae21fadb7852cfb39e1c3473420d9646d41c3531226b20a941554	no_cliff_only	200000	3351872	3151480	200392	3151480	6.358663231244	true	32
0	a90647ba28dae21fadb7852cfb39e1c3473420d9646d41c3531226b20a941554	cliff_only	200000	8734302	6081082	2653220	6081082	43.630722295802	true	8
0	a90647ba28dae21fadb7852cfb39e1c3473420d9646d41c3531226b20a941554	equal	1000000000000000000	12765824	8722510	4043314	8722510	46.354936824377	true	16
0	a90647ba28dae21fadb7852cfb39e1c3473420d9646d41c3531226b20a941554	balanced_cliff_presence	1000000000000000000	24233576	17826428	6407148	17826428	35.941849932022	true	24
0	a90647ba28dae21fadb7852cfb39e1c3473420d9646d41c3531226b20a941554	no_cliff_only	1000000000000000000	3822584	3622192	200392	3622192	5.532340637934	true	32
0	a90647ba28dae21fadb7852cfb39e1c3473420d9646d41c3531226b20a941554	cliff_only	1000000000000000000	8943240	6081082	2862158	6081082	47.066591109937	true	8
1	8e3792621781089c5739fce5bba6d0cc8aa0d4f79e7977a0b4a07942fc43be99	equal	200000	12120726	8920104	3200622	8920104	35.880994212624	true	16
1	8e3792621781089c5739fce5bba6d0cc8aa0d4f79e7977a0b4a07942fc43be99	balanced_cliff_presence	200000	21974334	17216814	4757520	17216814	27.632987148493	true	16
1	8e3792621781089c5739fce5bba6d0cc8aa0d4f79e7977a0b4a07942fc43be99	no_cliff_only	200000	3284536	3064614	219922	3064614	7.176172920962	true	32
1	8e3792621781089c5739fce5bba6d0cc8aa0d4f79e7977a0b4a07942fc43be99	cliff_only	200000	8836190	6287738	2548452	6287738	40.530505564958	true	8
1	8e3792621781089c5739fce5bba6d0cc8aa0d4f79e7977a0b4a07942fc43be99	equal	1000000000000000000	13057074	9189484	3867590	9189484	42.087129157633	true	16
1	8e3792621781089c5739fce5bba6d0cc8aa0d4f79e7977a0b4a07942fc43be99	balanced_cliff_presence	1000000000000000000	24803922	18654026	6149896	18654026	32.968196784973	true	24
1	8e3792621781089c5739fce5bba6d0cc8aa0d4f79e7977a0b4a07942fc43be99	no_cliff_only	1000000000000000000	3915616	3695694	219922	3695694	5.950763239597	true	32
1	8e3792621781089c5739fce5bba6d0cc8aa0d4f79e7977a0b4a07942fc43be99	cliff_only	1000000000000000000	9141458	6323678	2817780	6323678	44.559194823013	true	16
2	4ff35bfc6f65de2157a90ef3c34c7dea8d3e6124c91fc7c16edcc12135bda961	equal	200000	12026796	8393766	3633030	8393766	43.282478925431	true	16
2	4ff35bfc6f65de2157a90ef3c34c7dea8d3e6124c91fc7c16edcc12135bda961	balanced_cliff_presence	200000	21645396	16346046	5299350	16346046	32.419766835356	true	16
2	4ff35bfc6f65de2157a90ef3c34c7dea8d3e6124c91fc7c16edcc12135bda961	no_cliff_only	200000	3206200	3008722	197478	3008722	6.563517666305	true	32
2	4ff35bfc6f65de2157a90ef3c34c7dea8d3e6124c91fc7c16edcc12135bda961	cliff_only	200000	8820596	6227606	2592990	6227606	41.637027133701	true	8
2	4ff35bfc6f65de2157a90ef3c34c7dea8d3e6124c91fc7c16edcc12135bda961	equal	1000000000000000000	12467500	8447540	4019960	8447540	47.587344954863	true	16
2	4ff35bfc6f65de2157a90ef3c34c7dea8d3e6124c91fc7c16edcc12135bda961	balanced_cliff_presence	1000000000000000000	23075326	16838300	6237026	16838300	37.040710760587	true	24
2	4ff35bfc6f65de2157a90ef3c34c7dea8d3e6124c91fc7c16edcc12135bda961	no_cliff_only	1000000000000000000	3535942	3338464	197478	3338464	5.915235269873	true	32
2	4ff35bfc6f65de2157a90ef3c34c7dea8d3e6124c91fc7c16edcc12135bda961	cliff_only	1000000000000000000	8931558	6227606	2703952	6227606	43.418803309008	true	8
3	26b52aea52c6a4de4ff0a395fe9a6ce2eabc1b783477de6bba5b0bea5e67e3ee	equal	200000	12553512	8965490	3588022	8965490	40.020366984961	true	16
3	26b52aea52c6a4de4ff0a395fe9a6ce2eabc1b783477de6bba5b0bea5e67e3ee	balanced_cliff_presence	200000	22640856	17150168	5490688	17150168	32.015359849536	true	16
3	26b52aea52c6a4de4ff0a395fe9a6ce2eabc1b783477de6bba5b0bea5e67e3ee	no_cliff_only	200000	3362448	3126294	236154	3126294	7.553800122445	true	32
3	26b52aea52c6a4de4ff0a395fe9a6ce2eabc1b783477de6bba5b0bea5e67e3ee	cliff_only	200000	9191064	6667736	2523328	6667736	37.843849846485	true	8
3	26b52aea52c6a4de4ff0a395fe9a6ce2eabc1b783477de6bba5b0bea5e67e3ee	equal	1000000000000000000	13203226	9108302	4094924	9108302	44.958149169845	true	16
3	26b52aea52c6a4de4ff0a395fe9a6ce2eabc1b783477de6bba5b0bea5e67e3ee	balanced_cliff_presence	1000000000000000000	24792142	17959458	6832684	17959458	38.045045680109	true	24
3	26b52aea52c6a4de4ff0a395fe9a6ce2eabc1b783477de6bba5b0bea5e67e3ee	no_cliff_only	1000000000000000000	3862972	3626818	236154	3626818	6.511327560412	true	32
3	26b52aea52c6a4de4ff0a395fe9a6ce2eabc1b783477de6bba5b0bea5e67e3ee	cliff_only	1000000000000000000	9340254	6667736	2672518	6667736	40.081340952911	true	8
4	49f66bd267cc5b72aa15f1cfb4d55264e46956502b15d9ef748579d5625de02c	equal	200000	12131068	8610994	3520074	8610994	40.878834661829	true	16
4	49f66bd267cc5b72aa15f1cfb4d55264e46956502b15d9ef748579d5625de02c	balanced_cliff_presence	200000	21181216	15726004	5455212	15726004	34.689117464297	true	16
4	49f66bd267cc5b72aa15f1cfb4d55264e46956502b15d9ef748579d5625de02c	no_cliff_only	200000	3016716	2777556	239160	2777556	8.610447458125	true	32
4	49f66bd267cc5b72aa15f1cfb4d55264e46956502b15d9ef748579d5625de02c	cliff_only	200000	9114352	6678358	2435994	6678358	36.475942140269	true	8
4	49f66bd267cc5b72aa15f1cfb4d55264e46956502b15d9ef748579d5625de02c	equal	1000000000000000000	12613488	8819346	3794142	8819346	43.020672961464	true	16
4	49f66bd267cc5b72aa15f1cfb4d55264e46956502b15d9ef748579d5625de02c	balanced_cliff_presence	1000000000000000000	22381068	16191300	6189768	16191300	38.228974819811	true	24
4	49f66bd267cc5b72aa15f1cfb4d55264e46956502b15d9ef748579d5625de02c	no_cliff_only	1000000000000000000	3255860	3016700	239160	3016700	7.927868200351	true	32
4	49f66bd267cc5b72aa15f1cfb4d55264e46956502b15d9ef748579d5625de02c	cliff_only	1000000000000000000	9357628	6678358	2679270	6678358	40.118693846601	true	8
5	a5644d8f3fe348c003f165bab5230dbc20329586a13985686e2a732780419875	equal	200000	12005800	8716456	3289344	8716456	37.737172080029	true	16
5	a5644d8f3fe348c003f165bab5230dbc20329586a13985686e2a732780419875	balanced_cliff_presence	200000	21760888	16711504	5049384	16711504	30.215018349037	true	16
5	a5644d8f3fe348c003f165bab5230dbc20329586a13985686e2a732780419875	no_cliff_only	200000	3251696	3063530	188166	3063530	6.142130157041	true	32
5	a5644d8f3fe348c003f165bab5230dbc20329586a13985686e2a732780419875	cliff_only	200000	8754104	6204574	2549530	6204574	41.091136957993	true	8
5	a5644d8f3fe348c003f165bab5230dbc20329586a13985686e2a732780419875	equal	1000000000000000000	12566220	8811666	3754554	8811666	42.608900518926	true	16
5	a5644d8f3fe348c003f165bab5230dbc20329586a13985686e2a732780419875	balanced_cliff_presence	1000000000000000000	23129148	17350348	5778800	17350348	33.306536560535	true	24
5	a5644d8f3fe348c003f165bab5230dbc20329586a13985686e2a732780419875	no_cliff_only	1000000000000000000	3520976	3332810	188166	3332810	5.645866401025	true	32
5	a5644d8f3fe348c003f165bab5230dbc20329586a13985686e2a732780419875	cliff_only	1000000000000000000	9045244	6204574	2840670	6204574	45.783481670136	true	8
6	a819db440f7414358bc2d000e4c0c902cd06ab41a3d0b1fe39a5d4fb512593e8	equal	200000	11710904	8208072	3502832	8208072	42.675454113950	true	16
