profile	master	replicate	arm	phase	cost_s	events	raw	fire_fraction
per_turn_linear	41	0	1	generation	0.03703533404041082	1	18	1.0
per_turn_linear	41	0	1	replay	0.11621320492122322	1	18	1.0
per_turn_linear	41	0	4	generation	0.09769303002394736	4	66	1.0
per_turn_linear	41	0	4	replay	0.18546751304529607	4	66	1.0
per_turn_linear	41	0	8	generation	0.18203186697792262	8	130	1.0
per_turn_linear	41	0	8	replay	0.26155236712656915	8	130	1.0
per_turn_linear	41	0	24	generation	0.5585158210014924	24	386	1.0
per_turn_linear	41	0	24	replay	0.61184163892176	24	386	1.0
per_turn_linear	41	1	4	generation	0.10161273099947721	4	66	1.0
per_turn_linear	41	1	4	replay	0.17334921285510063	4	66	1.0
per_turn_linear	41	1	8	generation	0.19256399595178664	8	130	1.0
per_turn_linear	41	1	8	replay	0.2858044571476057	8	130	1.0
per_turn_linear	41	1	24	generation	0.5545619329204783	24	386	1.0
per_turn_linear	41	1	24	replay	0.6573444298701361	24	386	1.0
per_turn_linear	41	1	1	generation	0.04363959899637848	1	18	1.0
per_turn_linear	41	1	1	replay	0.11950259702280164	1	18	1.0
per_turn_linear	41	2	8	generation	0.1859647260280326	8	130	1.0
per_turn_linear	41	2	8	replay	0.28329846600536257	8	130	1.0
per_turn_linear	41	2	24	generation	0.5455601849826053	24	386	1.0
per_turn_linear	41	2	24	replay	0.6037502450635657	24	386	1.0
per_turn_linear	41	2	1	generation	0.03526514698751271	1	18	1.0
per_turn_linear	41	2	1	replay	0.10708672110922635	1	18	1.0
per_turn_linear	41	2	4	generation	0.09815828502178192	4	66	1.0
per_turn_linear	41	2	4	replay	0.1752357289660722	4	66	1.0
per_turn_linear	41	3	24	generation	0.5435311429901049	24	386	1.0
per_turn_linear	41	3	24	replay	0.6405853150645271	24	386	1.0
per_turn_linear	41	3	1	generation	0.07475228200200945	1	18	1.0
per_turn_linear	41	3	1	replay	0.12341654696501791	1	18	1.0
per_turn_linear	41	3	4	generation	0.11130884196609259	4	66	1.0
per_turn_linear	41	3	4	replay	0.21868285397067666	4	66	1.0
per_turn_linear	41	3	8	generation	0.21634809498209506	8	130	1.0
per_turn_linear	41	3	8	replay	0.2685232509393245	8	130	1.0
per_turn_linear	41	4	1	generation	0.03745607798919082	1	18	1.0
per_turn_linear	41	4	1	replay	0.1110008010873571	1	18	1.0
per_turn_linear	41	4	4	generation	0.09705312096048146	4	66	1.0
per_turn_linear	41	4	4	replay	0.1743817151291296	4	66	1.0
per_turn_linear	41	4	8	generation	0.21167286892887205	8	130	1.0
per_turn_linear	41	4	8	replay	0.27105981612112373	8	130	1.0
per_turn_linear	41	4	24	generation	0.5774219949962571	24	386	1.0
per_turn_linear	41	4	24	replay	0.6232924751238897	24	386	1.0
per_turn_linear	42	0	4	generation	0.10128607205115259	4	66	1.0
per_turn_linear	42	0	4	replay	0.19571613206062466	4	66	1.0
per_turn_linear	42	0	8	generation	0.19129980995785445	8	130	1.0
per_turn_linear	42	0	8	replay	0.26970380113925785	8	130	1.0
per_turn_linear	42	0	24	generation	0.5811423070263118	24	386	1.0
per_turn_linear	42	0	24	replay	0.644117457093671	24	386	1.0
per_turn_linear	42	0	1	generation	0.0484385690651834	1	18	1.0
per_turn_linear	42	0	1	replay	0.144384257029742	1	18	1.0
per_turn_linear	42	1	8	generation	0.18819865095429122	8	130	1.0
per_turn_linear	42	1	8	replay	0.2530992600368336	8	130	1.0
per_turn_linear	42	1	24	generation	0.5258223470300436	24	386	1.0
per_turn_linear	42	1	24	replay	0.5957801829790697	24	386	1.0
per_turn_linear	42	1	1	generation	0.03661543200723827	1	18	1.0
per_turn_linear	42	1	1	replay	0.11241254198830575	1	18	1.0
per_turn_linear	42	1	4	generation	0.10043120407499373	4	66	1.0
per_turn_linear	42	1	4	replay	0.17585392214823514	4	66	1.0
per_turn_linear	42	2	24	generation	0.5384564970154315	24	386	1.0
per_turn_linear	42	2	24	replay	0.6349063449306414	24	386	1.0
per_turn_linear	42	2	1	generation	0.03928824991453439	1	18	1.0
per_turn_linear	42	2	1	replay	0.11030483187641948	1	18	1.0
per_turn_linear	42	2	4	generation	0.09799294301774353	4	66	1.0
per_turn_linear	42	2	4	replay	0.21102973690722138	4	66	1.0
per_turn_linear	42	2	8	generation	0.18979172501713037	8	130	1.0
per_turn_linear	42	2	8	replay	0.2597856179345399	8	130	1.0
per_turn_linear	42	3	1	generation	0.06077433004975319	1	18	1.0
per_turn_linear	42	3	1	replay	0.11777137883473188	1	18	1.0
per_turn_linear	42	3	4	generation	0.10075407195836306	4	66	1.0
per_turn_linear	42	3	4	replay	0.1736245770007372	4	66	1.0
per_turn_linear	42	3	8	generation	0.2174445620039478	8	130	1.0
per_turn_linear	42	3	8	replay	0.2920566030079499	8	130	1.0
per_turn_linear	42	3	24	generation	0.5591360490070656	24	386	1.0
per_turn_linear	42	3	24	replay	0.6353384170215577	24	386	1.0
per_turn_linear	42	4	4	generation	0.09737655299250036	4	66	1.0
per_turn_linear	42	4	4	replay	0.1753051249543205	4	66	1.0
per_turn_linear	42	4	8	generation	0.18378369405400008	8	130	1.0
per_turn_linear	42	4	8	replay	0.2611843419726938	8	130	1.0
per_turn_linear	42	4	24	generation	0.577461023000069	24	386	1.0
per_turn_linear	42	4	24	replay	0.64277256897185	24	386	1.0
per_turn_linear	42	4	1	generation	0.06428916391450912	1	18	1.0
per_turn_linear	42	4	1	replay	0.12577736796811223	1	18	1.0
per_turn_linear	43	0	8	generation	0.18301574501674622	8	130	1.0
per_turn_linear	43	0	8	replay	0.2648751519154757	8	130	1.0
per_turn_linear	43	0	24	generation	0.5919837789842859	24	386	1.0
per_turn_linear	43	0	24	replay	0.6465942529030144	24	386	1.0
