condition,master_index,delta_vs_core_percentage_points,mean_delta_vs_core_percentage_points
no_cliff,0,-33.837923829325,-32.626964073068
no_cliff,1,-30.753034465731,-32.626964073068
no_cliff,2,-33.289933924147,-32.626964073068
no_reset,0,-22.454982945155,-21.275449830344
no_reset,1,-19.727077975309,-21.275449830344
no_reset,2,-21.644288570569,-21.275449830344
no_curvature,0,-1.852752557622,-2.389030095004
no_curvature,1,-2.025909789629,-2.389030095004
no_curvature,2,-3.288427937763,-2.389030095004
no_novelty,0,-0.149026148042,-0.154355251746
no_novelty,1,-0.178808815591,-0.154355251746
no_novelty,2,-0.135230791604,-0.154355251746
unsaturated,0,2.319366129495,4.106114082290
unsaturated,1,4.749406544155,4.106114082290
unsaturated,2,5.249569573220,4.106114082290
