stratum	reset_band	linear_band	curvature	cliff	profiles	regret_raw	regret_share_percent	modal_adaptive_length
0	low	low	none	-1	24	883284	8.509480	32
1	low	low	none	4	24	1016548	9.793333	4
2	low	low	none	8	24	1044968	10.067129	8
3	low	low	none	16	24	6134	0.059094	16
4	low	low	none	24	24	557328	5.369249	24
5	low	low	high	-1	24	116608	1.123391	8
6	low	low	high	4	24	1064390	10.254239	4
7	low	low	high	8	24	956938	9.219056	8
8	low	low	high	16	24	126244	1.216224	8
9	low	low	high	24	24	151624	1.460732	8
10	low	high	none	-1	24	56630	0.545568	32
11	low	high	none	4	24	401308	3.866166	4
12	low	high	none	8	24	406768	3.918767	8
13	low	high	none	16	24	0	0.000000	16
14	low	high	none	24	24	22390	0.215703	24
15	low	high	high	-1	24	37212	0.358497	8
16	low	high	high	4	24	460592	4.437303	4
17	low	high	high	8	24	395642	3.811580	8
18	low	high	high	16	24	21058	0.202871	8
19	low	high	high	24	24	23732	0.228632	8
20	high	low	none	-1	24	593600	5.718690	32
21	high	low	none	4	24	186174	1.793584	4
22	high	low	none	8	24	180232	1.736339	8
23	high	low	none	16	24	12116	0.116724	16
24	high	low	none	24	24	351466	3.385992	24
25	high	low	high	-1	24	44904	0.432601	24
26	high	low	high	4	24	196086	1.889075	4
27	high	low	high	8	24	203744	1.962852	8
28	high	low	high	16	24	0	0.000000	16
29	high	low	high	24	24	35504	0.342042	24
30	high	high	none	-1	24	118314	1.139827	32
31	high	high	none	4	24	140030	1.349037	4
32	high	high	none	8	24	139426	1.343218	8
33	high	high	none	16	24	0	0.000000	16
34	high	high	none	24	24	77100	0.742775	24
35	high	high	high	-1	24	12260	0.118112	24
36	high	high	high	4	24	150924	1.453988	4
37	high	high	high	8	24	172014	1.657168	8
38	high	high	high	16	24	0	0.000000	16
39	high	high	high	24	24	16708	0.160963	24
