run_id	metric	predicted_value	predicted_direction	confidence	metric_value	signal	memory_gb	runtime_s	status	description
goexplore-det-baseline	normalized	NA	unclear	low	NA	null	0.5	20	exploratory	provided Go-Explore baseline vs deterministic agent; timed out at 20s budget (heavy search)
local-compliant-400-rr	normalized	66	beat-baseline	medium	56.76	disconfirm	0.5	37	discard	equal round-robin ensemble dilutes sev-64 multi-post with sev-4 CD
local-compliant-400	normalized	120	beat-baseline	medium	100.68	partial	0.5	37	keep	weighted alloc, multi-post EXFIL dominant + small diversity hedge (mock upper bound)
local-refuse-exfil-400	normalized	8	match-baseline	high	11.04	confirm	0.5	37	keep	http.post blocked -> selector falls back to CONFUSED_DEPUTY and still fires (robustness path)
local-compliant-400-hardened	normalized	200	beat-baseline	medium	198.60	confirm	0.5	37	keep	multi-post-8 + 22pct second-family reserve; ~2x per-candidate severity, private insurance held
local-refuse-exfil-hardened	normalized	9	match-baseline	high	11.28	confirm	0.5	37	keep	private-guardrail sim (http.post blocked) still scores via CONFUSED_DEPUTY reserve
real-lb-v1-multipost	normalized_lb	~85	beat-baseline	low	36.705	disconfirm	NA	NA	superseded	v1 real LB: mock 198 was ONE compliant cell not the 4-cell mean; multi-post latency-bound + 28pct dead reserves -> bottom of board
real-lb-v2-singlepost	normalized_lb	84-90	beat-prior	medium	69.570	partial	NA	NA	keep	v2 real LB: single-post exfil + per-model raw/s selection + verified fill + void-safe 0.90; +89pct over v1, mid-pack (top ~103.7)
local-replay-cap-parity	findings_ratio	1.210	beat-baseline	high	1.205	confirm	0.5	11	keep	controlled real-SDK run: old 0.90/1.10 accounting returned 39 findings, public 0.99/direct-cost accounting returned 47
local-multi-fixed-overhead-3	normalized	1.950	beat-baseline	high	1.950	confirm	0.5	3	keep	adaptive router selected M8 multi-message under fixed reset overhead; official raw exactly 390=3*(16*8+2)
local-multi-context-fallback-3	normalized	0.270	match-baseline	high	0.270	confirm	0.5	1	keep	M4 probe passed but M8 context-limited candidate failed 75pct gate; router fell back to three single-post findings, exact raw=54
local-multi-default-50	normalized	96.50	beat-baseline	high	96.50	confirm	0.5	20	mechanics-only	production M24 default on compliant/harmony mocks: exact raw=19300=50*(16*24+2); not a real-model score prediction
orf-cal-v1-equal-h200-clear	masters_clearing_5pct_fraction	0.750000000000	beat-baseline	low	NA	null	NA	NA	crash	equal-weight H=200000 non-target calibration; exploratory only
orf-cal-v1-balanced-h200-clear	masters_clearing_5pct_fraction	0.500000000000	beat-baseline	low	NA	null	NA	NA	crash	balanced cliff-presence H=200000 sensitivity; exploratory only
orf-cal-v1-no-cliff-h200-clear	masters_clearing_5pct_fraction	0.500000000000	beat-baseline	low	NA	null	NA	NA	crash	no-cliff-only H=200000 sensitivity; exploratory only
orf-cal-v1-cliff-h200-clear	masters_clearing_5pct_fraction	0.500000000000	beat-baseline	low	NA	null	NA	NA	crash	cliff-only H=200000 sensitivity; exploratory only
orf-cal-v1-equal-unsat-clear	masters_clearing_5pct_fraction	0.500000000000	beat-baseline	low	NA	null	NA	NA	crash	equal-weight H=10^18 saturation sensitivity; exploratory only
orf-cal-v1-floor-margin	minimum_cliff_floor_distance	0.000000000000000000000000000000000000000000000000000000000001	beat-baseline	low	NA	null	NA	NA	crash	minimum distance from a cliff expression to an integer; no resampling
orf-cal-v2-equal-h200-clear	masters_clearing_5pct_fraction	0.750000000000	beat-baseline	low	1.000000000000	confirm	NA	29.43	exploratory	retry after v1 numeric crash; equal-weight H=200000; exploratory only
orf-cal-v2-balanced-h200-clear	masters_clearing_5pct_fraction	0.500000000000	beat-baseline	low	1.000000000000	confirm	NA	29.43	exploratory	retry after v1 numeric crash; balanced cliff-presence H=200000; exploratory only
orf-cal-v2-no-cliff-h200-clear	masters_clearing_5pct_fraction	0.500000000000	beat-baseline	low	1.000000000000	confirm	NA	29.43	exploratory	retry after v1 numeric crash; no-cliff-only H=200000; exploratory only
orf-cal-v2-cliff-h200-clear	masters_clearing_5pct_fraction	0.500000000000	beat-baseline	low	1.000000000000	confirm	NA	29.43	exploratory	retry after v1 numeric crash; cliff-only H=200000; exploratory only
orf-cal-v2-equal-unsat-clear	masters_clearing_5pct_fraction	0.500000000000	beat-baseline	low	1.000000000000	confirm	NA	29.43	exploratory	retry after v1 numeric crash; equal-weight H=10^18; exploratory only
orf-cal-v2-floor-margin	minimum_cliff_floor_distance	0.000000000000000000000000000000000000000000000000000000000001	beat-baseline	low	2.4702028345850861854631560389931149158158007314717302917408272803144660234725560E-8	confirm	NA	29.43	exploratory	retry after v1 numeric crash; no-resampling floor certificate
poc	adaptive_gain_percent	35.0	beat-baseline	low	49.277489504413	confirm	0.053520203	0.679508220	keep	public non-target 40-stratum ORF PoC; support threshold 5%, prediction interval 20-50%
poc	homogeneous_difference_raw	0	match-baseline	high	0	confirm	0.053520203	0.679508220	keep	exact homogeneous negative invariant
poc	sdk_cases_verified	2	match-baseline	high	2	confirm	0.053520203	0.679508220	keep	actual SDK q=16e+2 and 16-hex score-cell fixture checks
orf-p4-baseline	mean_global_score_raw	8500000	unclear	medium	8602550.666666666667	confirm	0.023773193	1.491515685	keep	exact N=3 public non-target PROBE_GLOBAL baseline and tuned parity
orf-p4-baseline	global_length_16_fraction	1.0	match-baseline	high	1.000000000000	confirm	0.023773193	1.491515685	keep	calibration-derived prediction that every master selects m=16
orf-p4-baseline	mechanical_reference_match_fraction	1.0	match-baseline	high	1.000000000000	confirm	0.023773193	1.491515685	keep	exact default tables must match immutable calibration reference
orf-p4-core	mean_adaptive_gain_percent	40.0	beat-baseline	medium	40.249038022308	confirm	0.515918732	0.132034047	keep	public N=3 per-profile-vs-global core; confirmation interval 30-50 percent
orf-p4-core	all_masters_clear_fraction	1.0	beat-baseline	high	1.000000000000	confirm	0.515918732	0.132034047	keep	all three fixed public masters must have adaptive gain at least 5 percent
orf-p4-core	homogeneous_zero_fraction	1.0	match-baseline	high	1.000000000000	confirm	0.515918732	0.132034047	keep	exact zero-regret distinguishing negative across three homogeneous masters
orf-p4-core	homogeneous_length_one_fraction	1.0	match-baseline	high	1.000000000000	confirm	0.515918732	0.132034047	keep	all homogeneous rows and global policies must select fill length one
orf-p4-ablations	no_cliff_mean_gain_percent	7.0	beat-baseline	low	7.622073949240	confirm	0.548843384	1.506462713	keep	one-at-a-time replacement of every event vector by e(m)=m
orf-p4-ablations	no_curvature_mean_gain_percent	35.0	beat-baseline	low	37.860007927303	confirm	0.548843384	1.506462713	keep	one-at-a-time exact d=0 cost transform
orf-p4-ablations	no_reset_mean_gain_percent	22.0	beat-baseline	low	18.973588191963	confirm	0.548843384	1.506462713	keep	one-at-a-time exact a=0 cost transform
orf-p4-ablations	no_novelty_mean_gain_percent	40.0	beat-baseline	medium	40.094682770562	confirm	0.548843384	1.506462713	keep	one-at-a-time replacement of positive raw 16e+2 by 16e
